number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,params_tree_method,state
0,0.9785666666666667,0.154950439353214,0.7088718490995936,logloss,0.0025637720112053055,0.07894847263542887,7,2,0.6175365090075491,gpu_hist,COMPLETE
1,0.9736666666666667,0.006109144563635802,0.35632703934163945,logloss,0.007612977121780078,0.09916924292154679,20,188,0.6609171600879832,gpu_hist,COMPLETE
2,0.9443833333333334,0.01186689342153831,0.973284235394557,logloss,0.8293956673030876,0.004610819055839432,5,38,0.4942597219428911,gpu_hist,COMPLETE
3,0.9681,0.18380782928389944,0.8241156236677765,logloss,5.695847588851028,0.014858253954962103,11,197,0.7508655933747961,gpu_hist,COMPLETE
4,0.9763166666666667,0.006391867831363863,0.7165986510703454,logloss,2.0869450416370516,0.024510629112986876,13,38,0.49220110132376466,gpu_hist,COMPLETE
5,0.971,0.0011875691962104772,0.6960278710094111,logloss,1.8805365422187081,0.0909950759092007,3,269,0.8297590277752946,gpu_hist,COMPLETE
6,0.9674166666666667,0.10002335548229384,0.7259535839092087,logloss,1.1411040989608523,0.016899658168588915,7,206,0.6501041564320936,gpu_hist,COMPLETE
7,0.8769333333333333,0.14339785851588052,0.7749069523279981,logloss,0.4600444026425705,0.002793778230021146,3,93,0.9139845696514831,gpu_hist,COMPLETE
8,0.9295,0.0456537882431935,0.931134309472601,logloss,2.639334188020618,0.0026748075846658444,5,10,0.4339131894082756,gpu_hist,COMPLETE
9,0.9296833333333333,1.5253479081619161,0.48512824875812655,logloss,0.9545985457297302,0.0026876263797148007,20,262,0.4928564886831852,gpu_hist,COMPLETE
10,0.9743,5.47546736774739,0.5415969085154329,logloss,0.0017562816841170403,0.041299579994602605,7,114,0.5902419850493204,gpu_hist,COMPLETE
11,0.9762833333333333,0.6452378023183394,0.583440274027492,logloss,0.045617849950262135,0.03613121778276865,13,59,0.5732699169329566,gpu_hist,COMPLETE
12,0.9764,0.01642276095403428,0.850906533085818,logloss,0.06333119568337581,0.03691593423630893,13,6,0.40387059721096236,gpu_hist,COMPLETE
13,0.9761,0.03075768149063195,0.8680668720422674,logloss,0.043916714808836264,0.05207983363631115,17,3,0.4016956007759478,gpu_hist,COMPLETE
14,0.9369,0.42256830499526044,0.6397785582890838,logloss,0.001027165926928837,0.0010077858707812962,9,100,0.7203925700574135,gpu_hist,COMPLETE
15,0.9746166666666667,0.0012348579203512082,0.851998188389755,logloss,0.007739144607976686,0.05523929047915174,15,136,0.7975207390002712,gpu_hist,COMPLETE
16,0.9703166666666667,0.023245937425288694,0.4350708098442972,logloss,0.19784046454316445,0.006784387106240372,13,69,0.9276534312983066,gpu_hist,COMPLETE
